"application_type","keywords","visual_style","landing_page","dashboard_layout","color_palette","essential_ux","ui_style_bias"
"Veterinary Clinic","veterinary, vet, animal hospital, pet care, veterinarian, animal clinic, pet health, vet clinic, animal care, pet hospital","Warm, caring, and professionally reassuring. The design should communicate love for animals alongside medical competence. Photography should feature real patients (animals) and staff interacting warmly — this is the most emotionally powerful content. Typography should be friendly and readable with clear hierarchy. Layouts should be clean and organized with easy access to essential information (emergency, booking, services). Color should be warm and inviting. Avoid: overly clinical aesthetics that feel like a human hospital, clip art or cartoon animals on a professional practice site, and dark themes that contradict the warm, caring positioning.","Hero should feature an authentic photo of a veterinarian caring for an animal at the actual clinic, paired with a warm headline about the care philosophy. Book Appointment CTA and emergency phone number both prominent above the fold. Below the fold: services by category (wellness exams, surgery, dental, emergency, exotic pets if applicable). Team section with photos, credentials, and a personal note about their own pets — pet owners connect with this. Client testimonials mentioning pet names and species. Facility tour photos. Insurance and payment information. AAHA accreditation or other trust badges. Avoid: stock photos of animals, hiding emergency contact information, and service descriptions written in veterinary jargon.","If a client portal exists, organize around pets (not people): each pet profile shows vaccination records, upcoming appointments, medication schedules, weight history, and visit notes. Appointment booking with species-appropriate time slots. Prescription refill requests. Vaccination and preventive care reminders. Billing and payment history. Photo upload for telehealth consultations. Multi-pet management for households with several animals. Avoid: human-medical portal patterns that do not account for multi-pet households, and dense clinical data that pet owners cannot interpret.","Warm, nature-inspired palette. Caring blue or teal as primary — calming and medically trustworthy. Warm green secondary (nature, health). Soft earth tones (cream, warm grey, sage) for backgrounds. A friendly accent (warm coral, soft orange) for CTAs and interactive elements. Photography of animals should provide most of the visual warmth. Avoid: clinical white-and-blue that feels like a human hospital, neon or overly bright colors that feel unserious, and palettes that do not photograph well alongside diverse animal coat colors.","Trust is formed in 0.05 seconds — the first impression must communicate warmth and competence simultaneously. 85% of pet owners prefer online booking over calling, making appointment scheduling the critical conversion feature. Emergency information must be immediately findable — not buried in menus. Services should be described in pet-owner language, not veterinary terminology. Mobile is the primary device for finding and researching local vets. Reviews are heavily weighted in decision-making — display them prominently. SSL and form security assurances matter when collecting pet health information. Accessibility (WCAG AA) ensures all pet owners can book appointments regardless of ability. Avoid: requiring account creation before booking, and hiding pricing for routine services like vaccinations and wellness exams.","Warm, pet-friendly professionalism; caring blue-green palette, authentic animal photography, prominent emergency access, easy online booking, and species-aware portal design"
"Florist / Plant Shop","florist, flower shop, plant shop, floral, bouquet, arrangement, delivery, plants, garden, botanical","Lush, natural, and visually rich. Floral products are inherently beautiful — the design should frame and enhance that visual appeal rather than competing with it. Typography should be elegant and clean: a refined serif for headings, a readable sans-serif for product details. Layouts should let product photography breathe with generous whitespace. Backgrounds should be warm and neutral to complement the natural colors of flowers and plants. The experience should feel curated and artisanal, not mass-market. Avoid: cluttered product grids, cold or clinical backgrounds, dark themes that make flowers look washed out, and excessive text that competes with imagery.","Hero should feature a stunning, seasonal arrangement with clear same-day delivery messaging if offered. Below the fold: products organized by occasion (birthday, sympathy, anniversary, congratulations, just because) — occasion-based browsing converts higher than type-based. Featured collections or seasonal highlights. Delivery area checker (zip code or city input) early in the experience to set expectations. Pricing clearly visible on all product cards. Subscription or recurring delivery option for plant shops. Trust signals: satisfaction guarantee, freshness guarantee, and delivery reliability. Avoid: hiding delivery areas until checkout, products without prices, and generic product photography.","Most florists do not need a customer-facing dashboard. If one exists, show: order history with reorder functionality (recurring occasions like anniversaries), delivery tracking for active orders, subscription management for recurring deliveries, and saved recipients with addresses. For the business side: order queue with delivery schedule, driver routing, inventory management with freshness tracking, and seasonal planning calendar. Avoid: over-engineering — florist operations are time-sensitive and the admin interface must prioritize today's orders above everything.","Natural, botanical palette: warm greens and soft earth tones as the foundation. Product photography defines the color experience — the UI palette should complement, not compete. Warm cream or soft white backgrounds make flowers look their best (never stark white or grey). Subtle gold or blush accents for CTAs and premium positioning. Seasonal palette adjustments can reflect current inventory (spring pastels, autumn warmth, holiday reds). Avoid: bold UI colors that clash with floral photography, dark backgrounds that desaturate flower colors, and cool-toned whites that make arrangements look clinical.","Same-day delivery cutoff times are the most critical piece of information — display prominently and count down when close. Delivery area validation should happen before product browsing (zip code checker), not at checkout when abandonment cost is highest. Occasion-based navigation converts better than category-based (roses, lilies) for gift purchasers. Product photography must be accurate to what arrives — unmet expectations are the top complaint in floral e-commerce. Mobile is the dominant channel for gift-occasion purchases (often last-minute). Checkout must be fast: recipient address, delivery date, card message, payment — under 3 minutes. Subscription and reminder features for recurring occasions build long-term customer value. Avoid: generic product photos that do not match delivered arrangements, and checkout flows that do not confirm delivery availability for the selected date.","Lush, occasion-driven design; botanical warmth, editorial product photography, delivery-forward messaging, warm neutral backgrounds, and seasonal color storytelling"
"Bakery / Cafe","bakery, cafe, pastry, bread, coffee shop, patisserie, baked goods, brunch, breakfast, dessert","Warm, appetizing, and unpretentious. The visual language should make visitors hungry — photography is the most important design element. Typography should be friendly and readable with a touch of character: a warm serif or hand-crafted heading font paired with clean body text. Layouts should be simple and content-focused. Colors should be warm and organic. The experience should feel like walking into the shop: inviting, aromatic, and personal. Avoid: overly polished corporate design, dark or moody aesthetics (unless specifically a craft/artisan brand), cluttered menus, and cold, clinical presentation of food.","Hero should feature the most appetizing product photography available — a hero image of fresh bread or a signature pastry creates immediate craving. Location and hours visible above the fold. Online ordering CTA if available. Below the fold: menu organized by category (bread, pastries, cakes, drinks, savory) with photos and prices. About section with the bakers story, sourcing philosophy, or founding narrative. Catering or custom cake information for high-value orders. Instagram feed or gallery showing daily specials and behind-the-scenes baking. Customer reviews. Avoid: PDF menus, menus without photos, and hiding location and hours below the fold.","Most bakeries do not need a customer-facing dashboard. If online ordering exists, provide: order status with estimated ready time, order history with reorder functionality, loyalty or rewards tracking, and saved favorites. For the business side: daily order queue organized by pickup time, custom cake requests with specifications and timeline, inventory tracking for perishables, and daily production planning. The ordering interface should support both advance ordering and same-day pickup. Avoid: complex checkout flows for simple counter purchases.","Warm, appetite-stimulating palette: cream, warm brown, honey gold, and soft butter tones as the foundation. These colors evoke baking ingredients and warmth. A single stronger accent for CTAs (warm coral, brick red, or deep teal). Photography provides the color richness — the UI palette should be a warm, neutral frame. Backgrounds should be warm cream or soft white, never stark white. Avoid: cool blues and greys that suppress appetite, dark backgrounds that make food look unappetizing, and saturated colors that compete with food photography.","Online ordering convenience is the primary differentiator for bakeries with web presence — reduce phone calls and increase order accuracy. Menu presentation must include photos for at least the top sellers; menus without images underperform. Location, hours, and phone number must be findable within 2 seconds. Mobile is the primary browsing channel, especially for local searches. Page speed matters for local SEO rankings. Special orders (custom cakes, catering) need a dedicated flow with enough detail to quote accurately: size, flavor, design, date, delivery or pickup. Daily specials or seasonal items should be easy to update without redesigning the page. Avoid: PDF-only menus that frustrate mobile users, and websites that cannot answer the three basic questions immediately: what do you sell, where are you, and when are you open.","Warm, appetite-forward design; bakery-toned palette, hero food photography, prominent hours and location, simple ordering flow, and artisanal personality"
"Coffee Shop","coffee, coffee shop, cafe, espresso, roastery, barista, coffeehouse, latte, roaster, brew","Warm, intimate, and craft-conscious. The visual language should evoke the sensory experience of coffee — warmth, aroma, ritual. Typography should be distinctive but readable: a characterful display font for the brand paired with a clean, warm body font. Photography should be rich and atmospheric: close-ups of latte art, beans, brewing processes, and the interior space. Layouts should be simple and inviting. The experience should feel like the cafe itself: unhurried, personal, and detail-oriented. Avoid: corporate chain aesthetics, generic coffee stock photography, cluttered layouts, and cold or clinical design.","Hero should feature atmospheric photography of the space or a signature drink, with location and hours immediately visible. Menu CTA or mobile ordering link if available. Below the fold: the menu organized simply (espresso, filter, seasonal, food, retail beans). Origin story or sourcing philosophy — single-origin or specialty coffee customers care deeply about provenance. Retail section if beans or merchandise are sold online. Loyalty program promotion. Location with parking and transit details. Events or community involvement (cuppings, live music). Avoid: hiding the menu, overcomplicating the experience for what should be a simple local business site, and failing to show the actual interior space.","Most coffee shops do not need a customer-facing dashboard. If mobile ordering exists: simple order builder with size, milk, and modifier selections. Order status with estimated ready time. Order history with one-tap reorder for regulars. Loyalty points or stamp card tracking. Saved favorites. Subscription management for bean deliveries if applicable. For the business side: real-time order queue, inventory alerts for running low, and daily sales summary. Avoid: over-engineering — coffee ordering should be faster than standing in line, not slower.","Rich, warm coffee-inspired palette: deep espresso brown, warm cream, coffee-with-milk caramel, and raw linen tones. These create an immediate sensory association. A single accent color for CTAs and highlights (warm terracotta, sage green, or muted gold). Photography should carry the visual richness. Backgrounds should be warm cream or soft parchment, evoking paper and natural materials. Avoid: stark whites that feel cold, saturated colors that overpower the warm coffee aesthetic, dark backgrounds for the main site (reserve dark for evening events or retail sections), and any color that does not feel handcrafted.","The website exists primarily to answer four questions: where are you, when are you open, what do you serve, and can I order ahead. Answer all four within 5 seconds of landing. Location and hours must be visible without scrolling. Mobile ordering (if offered) is the highest-value feature — ensure it is faster than ordering in person. The origin story and sourcing details build emotional connection and justify premium pricing for specialty shops. Retail bean sales and subscriptions are the highest-margin digital channel — make them prominent without overwhelming the cafe experience. Photography must be authentic to the actual space — visitors will feel deceived if the website atmosphere does not match the shop. Local SEO (Google Business integration, location keywords) drives the majority of traffic for independent coffee shops.","Cozy craft aesthetic; espresso-toned palette, atmospheric photography, simple menu-forward layout, warm textures, and origin-story warmth"
"Brewery / Winery","brewery, winery, craft beer, wine, taproom, tasting room, vineyard, microbrewery, cellar, vintner","Rich, artisanal, and story-driven. The visual language should communicate craft, heritage, and sensory experience. Typography should have character — a distinctive display font that reflects the brand personality (rustic, modern craft, or refined) paired with a readable body font. Photography should be atmospheric: the production space, ingredients, pours, and the people behind the product. Layouts should balance storytelling with e-commerce functionality. Dark backgrounds can work for evening/tasting atmosphere, but product pages need accurate color rendering. Avoid: generic stock imagery, corporate beverage branding, and designs that feel more like a liquor store than a craft producer.","Hero should establish the brand atmosphere — a full-bleed image of the tasting room, vineyard, or brewing process with a compelling tagline. Below the fold: default to showing all products rather than categories — for under 15 products, no filtering is needed. Product cards with bottle shot (hover to reveal lifestyle imagery), name, variety, and price. Tasting room or taproom information with hours, reservation link, and location. Events calendar (tastings, releases, food pairings). The story section: founders, process, terroir, or ingredients — this content drives emotional purchase decisions. Club or membership promotion. Avoid: confusing navigation that buries tasting room info, weak CTAs, and product pages that do not help customers distinguish between similar offerings.","If a club/membership portal exists: upcoming shipments with contents and delivery date, membership tier and benefits, order history, account management, and event access. For the tasting room: reservation management and waitlist. For the business side: inventory by batch, taplist management with real-time status (on tap, running low, kicked), production schedule, and club member analytics. Menu or taplist must be easy to update since rotating selections are expected. Avoid: static menus that do not reflect current availability, and club management that requires phone calls for basic changes.","Product-appropriate palette: amber, deep gold, and rich brown tones for breweries; burgundy, deep purple, and aged gold for wineries. Dark backgrounds can create atmospheric product showcases, but product photography needs accurate color rendering (especially for wine label readability). Cream or warm white for text-heavy and e-commerce sections. Metallic accents (gold, copper, brass) add craft premium feel. Avoid: bright or neon colors that feel mass-market, clinical whites that strip the artisanal atmosphere, and UI colors that interfere with accurate perception of beverage color in product photos.","The website must bridge the physical experience gap — without taste and smell, storytelling and photography carry the entire sensory load. Product differentiation is critical: when multiple offerings look similar (e.g., three IPAs or four Chardonnays), use callouts for body type, flavor profile, or production method. Critic reviews outperform user reviews for small producers — cite the reviewer. Product detail pages should structure information in scannable sections: tasting notes, food pairings, production details, awards. 65-75% of traffic is mobile; optimize accordingly. Tasting room reservations should be bookable online. E-commerce checkout must handle shipping compliance (age verification, state restrictions). Menu or taplist must be trivially updateable for rotating selections. Avoid: outdated menus that do not reflect what is actually available, and product pages that make all offerings look identical.","Rich, craft-story-driven design; atmospheric photography, artisanal typography, amber-to-burgundy palette, rotating menu integration, and tasting-room-to-web bridge"
"Airline","airline, aviation, flights, air travel, booking, carrier, air, flying, airways, ticketing","Efficient, trustworthy, and globally polished. The design must handle extreme information density (dates, routes, prices, classes, ancillaries) without overwhelming users. Typography must be precise and legible at small sizes for fare comparisons and flight details. Layouts should be highly structured with clear visual hierarchy separating search, results, and booking steps. The interface should communicate competence and reliability — travelers trust airlines that feel organized. Support for multiple languages and currencies is foundational. Avoid: decorative design that slows comprehension, cluttered fare displays, dark themes for the booking flow, and playful branding that undermines the gravity of air travel.","Hero should be a prominent flight search widget: origin, destination, dates, passenger count, and class. This is the only element that matters above the fold. Below the fold: promotional fares or route deals with specific prices, loyalty program promotion, and route map or destination inspiration for leisure travelers. Trust signals: safety record, fleet information, and alliance memberships. App download promotion with mobile-specific features (boarding pass, real-time updates). Status or flight tracking for existing travelers. Avoid: hero imagery that pushes the search below the fold, hiding promotional fares, and mixing business and leisure messaging in confusing ways.","Booking management as the primary authenticated view: upcoming trips with itinerary, booking reference, seat selection, and check-in status. Trip timeline showing each leg with departure, arrival, gate, and terminal. Boarding pass access (mobile and printable). Loyalty program status: points balance, tier progress, and redemption options. Flight status with real-time updates and delay notifications. Past trips for rebooking. Baggage tracking. Ancillary management (seat upgrades, meals, lounge access). Avoid: booking flows that take more than 5 steps, hiding the total price until the final step, and ancillary upsell screens that prevent users from advancing without explicit action.","Brand-centric palette: airline identity color as primary (this is one of few product types where brand color supersedes UX convention). Sky blue or white as secondary for the booking flow — clean and trustworthy. Price displays should use high contrast against neutral backgrounds for easy scanning. Semantic colors: green for confirmed/available, amber for limited/warning, red for unavailable/cancelled. Fare class differentiation through subtle background tinting or border color. Avoid: dark backgrounds for search results and fare comparison (readability is critical), color coding that varies between mobile and desktop, and decorative color that competes with pricing information.","The booking flow is the entire product — optimize relentlessly for completion rate. Search results must load fast and display clearly: price, times, duration, stops, and aircraft. A persistent price summary must be visible throughout the multi-step booking process so users always know the running total. Ancillary upsells (seats, bags, meals) must be clearly optional and never block progression. Fare comparison should be honest: show total price including mandatory fees, not base fare. Mobile is the primary channel for check-in, boarding pass, and flight status — these must be flawless. Push notifications for gate changes, delays, and boarding should be real-time and reliable. Multi-language and multi-currency support must be seamless, not bolted-on. Accessibility (WCAG AA) is critical for a public transportation service. Avoid: dark patterns that trick users into purchasing unwanted ancillaries, and booking flows that lose state on back-button navigation.","Globally polished efficiency; brand-centric palette, search-dominant hero, persistent price summary, structured fare comparison, and flight-status-forward mobile experience"
"News / Media Platform","news, media, journalism, press, publication, editorial, current events, reporting, headlines, newsroom","Content-first with unwavering readability. Typography is the design — invest heavily in a typographic system that handles headlines, body text, captions, bylines, and pullquotes with clear hierarchy. Serif fonts for body text improve long-form readability; bold sans-serifs work well for headlines. Layouts should support rapid scanning of headlines while providing comfortable long-form reading. Information density should be high on the homepage and section pages, low on article pages. Whitespace around article text is essential for reading comfort. Avoid: decorative design that competes with content, distracting sidebar widgets, autoplay video on article pages, and typography that sacrifices readability for personality.","Homepage is a news product — it should surface the most important and most recent stories with clear editorial hierarchy: lead story with large imagery, secondary stories in a grid, and section teasers. Breaking news banner capability. Category/section navigation must be fast and predictable. Below the fold: section previews (politics, business, culture, opinion) with 3-5 story teasers each. Newsletter signup CTA. Subscription or membership promotion that communicates the value of journalism without being obtrusive. Avoid: auto-rotating carousels that obscure editorial judgment, cluttered homepages where everything competes for attention, and hero layouts that bury breaking news capability.","For editorial teams: CMS-driven publishing workflow, analytics per article (views, read depth, shares), topic and author performance tracking, and SEO optimization suggestions. For subscribers: saved articles, reading history, newsletter preferences, and subscription management. For all users: article reading experience should include: adjustable text size, estimated read time, progress indicator for long pieces, related articles, and social sharing. Avoid: dashboards that prioritize vanity metrics over audience insight, and reader-facing features that interrupt the reading experience.","Brand identity palette: most news organizations have established colors — these should be used for navigation and brand elements. Article pages should be typographically neutral: near-black text on warm or neutral white, with minimal color interference. Category or section color coding can aid navigation but must be subtle. Link colors should be clearly distinguished from body text. Breaking news indicators in red or high-contrast accent. Avoid: dark themes as default for reading (reduces perceived neutrality and readability), colored backgrounds behind article text, and UI colors that create visual fatigue during extended reading sessions.","Article format and presentation clarity is the single biggest driver of user satisfaction — a one-point improvement in format satisfaction raises overall UX quality by 12%. Reading experience must be optimized: 55-75 character line length, generous line height (1.5-1.6x), clear heading hierarchy, and no interstitial ads that break reading flow. Homepage must load fast and update frequently for breaking news. Paywall implementation should be clear and fair — metered paywalls outperform hard walls for acquisition. Search must span the full archive with relevant, date-aware results. Mobile reading must be equal to desktop — most news consumption happens on phones. Push notifications for breaking news must be timely, relevant, and not overused. Accessibility (WCAG AA) is essential for a public information service. Performance is critical: every 100ms of load time correlates with reduced engagement for news sites.","Typography-led editorial clarity; reading-optimized line length, neutral article pages, dense-but-scannable homepage, breaking-news-ready hierarchy, and subscription-respectful paywall"
"Magazine / Blog","magazine, blog, editorial, articles, content, publishing, writer, columnist, opinion, digital magazine","Typography-driven and editorially refined. This is a reading product — every design decision should serve comprehension and engagement with long-form content. Invest in a typographic system: serif body text for readability, bold sans-serif headlines for impact, and clear hierarchy across subheads, captions, bylines, and pullquotes. Layouts should balance visual richness (hero imagery, pullquotes, featured graphics) with comfortable reading zones. Whitespace around article body text is non-negotiable. Avoid: cluttered sidebars that compete with content, autoplay media, decorative UI elements that distract from reading, and typography that sacrifices legibility for personality.","Homepage should present a curated editorial hierarchy: lead story with large imagery and compelling headline, secondary story grid, and section teasers. Category navigation (culture, tech, opinion, lifestyle) should be prominent and fast. Featured or editors-pick section adds editorial voice. Newsletter signup CTA integrated naturally, not as a popup. Author pages with bio, photo, and article archive. Below the fold: trending or most-read articles, category previews with 3-5 story teasers each. Subscription or membership promotion if applicable — focus on the value of the editorial voice, not generic access. Avoid: auto-rotating carousels, clickbait headlines, and homepage layouts that flatten all content to equal weight.","For editors: content calendar, draft management, SEO optimization suggestions, and per-article analytics (views, read depth, shares, time on page). For readers: saved articles, reading history, newsletter preferences, dark mode toggle, and subscription management. Article reading experience: estimated read time, progress indicator for long pieces, adjustable text size, related articles at the end, and social sharing. Comment system (if enabled) should be moderated and threaded. Avoid: analytics dashboards that prioritize page views over engagement depth, and reader features that interrupt the reading flow.","Brand-forward palette for navigation and identity elements, but article pages should be typographically neutral. Near-black text on warm or neutral white for body text — never grey text on white. Category color coding can aid navigation but must be subtle and never bleed into article backgrounds. Link colors clearly distinguished from body text. Accent color for CTAs (subscribe, newsletter). Dark mode option with proper contrast ratios (not just inverted colors). Avoid: colored backgrounds behind article text (kills readability), high-saturation UI that causes fatigue during extended reading, and palettes that override editorial photography.","Reading experience quality is the core UX metric. Optimize line length (55-75 characters), line height (1.5-1.6x), and body text size (minimum 18px) for sustained reading comfort. Good editorial design makes readers forget they are on a screen. Article pages should minimize distractions: no autoplay video, no interstitial ads that break flow, and no sticky elements that reduce reading area. Page speed is critical — slow-loading articles lose readers before the first paragraph. Mobile reading must match desktop quality; most editorial consumption happens on phones. Search must span the full archive with relevant, date-aware results. Newsletter signup should offer genuine editorial value, not just access. Accessibility: proper heading hierarchy, alt text for editorial images, and screen reader compatibility for article structure.","Editorial craft meets digital clarity; typography-led hierarchy, reading-optimized body text, rich editorial imagery, neutral article backgrounds, and content-first density"
"Freelancer Platform","freelancer, freelance, gig, independent contractor, self-employed, remote work, talent marketplace, skilled professional, project-based, contract work","Professional and efficient with clear dual-audience design. The interface must serve both freelancers (selling skills) and clients (buying outcomes) without confusing either side. Typography should be clean and scannable — profile browsing requires rapid comparison. Layouts should use consistent card patterns for freelancer profiles with key information visible at a glance. Search and filtering are the primary interactions and must be prominent. The design should feel trustworthy and competent. Avoid: overly casual or startup-playful branding, inconsistent profile presentations, and layouts that blur the line between freelancer and client experiences.","Hero should serve both audiences with a clear value proposition and separate entry paths: Find Talent and Find Work. Search bar with skill/category input as the primary CTA. Below the fold: popular categories with representative work samples, featured freelancers or projects, and platform metrics (projects completed, freelancers available, total paid out). Trust signals: payment protection, dispute resolution, and platform review scores. How-it-works section for new users (both sides). Testimonials from both freelancers and clients. Avoid: messaging that only speaks to one side of the marketplace, hiding the search, and generic gig economy imagery.","Freelancer dashboard: profile completeness indicator (drives matching quality), active proposals and their status, current projects with milestones and deadlines, earnings with payout schedule, reviews and ratings, and skill endorsements. Client dashboard: active projects with freelancer status, posted jobs with applicant counts, hiring pipeline, spend history, and saved freelancers. Both: messaging system with project context, file sharing, and time tracking where applicable. Search with robust filtering: skill, rate range, experience level, availability, location, and rating. Avoid: hiding earnings data from freelancers, and notification overload that does not distinguish urgent from routine.","Professional, trust-building palette. Blue as primary conveys reliability for a financial transaction platform. Green for success states (project completed, payment sent, available). Neutral greys for backgrounds and card borders so portfolio work and profile photos dominate. Accent color for primary CTAs (Hire, Submit Proposal). Category colors can be used sparingly for skill area differentiation. Avoid: playful palettes that undermine professional credibility, dark themes as default (profile browsing is a daytime activity), and heavy brand coloring that competes with portfolio imagery.","Profile completeness is the #1 lever for matching quality — incentivize and guide freelancers to complete profiles through progress indicators and clear prompts. Search must be fast, intelligent, and support both keyword and category-based discovery. Profile cards should show: name, title, rating, hourly rate, skills, and a portfolio thumbnail without clicking. Proposal submission should be fast but structured — templates with customizable sections. Payment flow must feel secure: escrow indicators, milestone-based releases, and clear fee transparency. Mobile is important for messaging and notifications but desktop dominates for hiring and proposal work. Review systems must be bilateral (client reviews freelancer AND freelancer reviews client) to build marketplace trust. Avoid: requiring account creation before browsing, and payment flows that feel opaque about platform fees.","Professional dual-audience layout; trust-blue palette, scannable profile cards, robust search and filtering, portfolio-forward profiles, and secure transaction indicators"
"Consulting Firm","consulting, consultancy, advisory, management consulting, strategy, professional services, business consulting, consultant, advisory firm, strategic consulting","Authoritative, polished, and substance-driven. The visual language should communicate intellectual rigor and business impact without feeling stuffy. Typography should be refined and professional — a strong serif or premium sans-serif that conveys expertise. Layouts should be clean and spacious with deliberate use of whitespace to signal premium positioning. Photography should show real team members in authentic settings — boardrooms and workshops, not stock handshakes. The overall tone should say: we think deeply and deliver results. Avoid: generic corporate design, busy layouts, stock business photography, and visual patterns borrowed from SaaS or startups.","Hero should lead with the firm's core expertise and a results-oriented value proposition — not what you do, but what clients achieve. Below the fold: service areas or practice groups with concise descriptions. Case studies section is the most important content on the site — each should show client context, approach, and quantified outcome. Team section with senior leadership photos, credentials, and areas of expertise. Thought leadership section (articles, whitepapers, reports) that demonstrates domain knowledge. Industry or client logos for social proof. CTA should be Schedule a Consultation or Contact Us — never Get Started. Avoid: feature-benefit grids, pricing pages (consulting is custom-scoped), and generic messaging that could apply to any firm.","Most consulting firms do not need a client-facing dashboard. If a client portal exists, organize around: active engagements with deliverable timelines and status, document repository for shared materials (presentations, reports, data), meeting notes and action items, and invoice/billing summary. For internal use: pipeline management for new opportunities, resource allocation across engagements, utilization tracking, and knowledge management for reusable frameworks. Avoid: complex dashboards — consulting clients want deliverable status and document access, not analytics.","Restrained, premium palette. Navy or charcoal as primary — conveys authority and seriousness. Gold, brass, or warm accent for subtle emphasis (CTAs, section dividers, headings). White or very light warm grey backgrounds for content areas. Photography and case study imagery provide visual interest — the UI palette should be a neutral frame. Limit to 3 colors maximum. Avoid: bright blues that feel tech-startup, trendy gradients, colorful UI elements that reduce perceived gravitas, and dark themes that feel more tech-company than professional services.","Case studies with quantified outcomes are the single most important content asset — invest heavily in their quality and presentation. Thought leadership content (articles, reports) drives organic traffic and establishes expertise; make it easy to find and share. Team profiles are high-traffic pages — credentials, experience, and a genuine photo build trust. Navigation should be shallow and predictable: services, industries, case studies, team, insights, contact. Mobile must work well for executive audiences who browse during commutes. Page speed matters for SEO and first impressions. Contact forms should be short (name, company, topic, message) and clearly indicate what happens next. Avoid: gated content that requires forms before any value is shown, and websites that talk about the firm's process more than client outcomes.","Authoritative premium restraint; navy-gold palette, case-study-forward content, refined typography, whitespace-rich layouts, and substance-over-style hierarchy"
"Marketing Agency","marketing agency, advertising, digital marketing, creative agency, brand agency, media agency, campaign, ad agency, growth agency, performance marketing","Bold, results-driven, and creatively confident. The site is a portfolio piece — the design itself demonstrates capability. Typography should be large and expressive for headlines, clean for body text. Layouts can break conventions intentionally — asymmetric grids, bold section transitions, and unexpected interactions demonstrate creative range. Motion and animation should feel crafted and purposeful. Photography and case study imagery should be rich and full-bleed. The overall tone should communicate both creative excellence and measurable business impact. Avoid: safe corporate design, templated layouts, stock photography, and visual restraint that contradicts the creative positioning.","Hero should make an immediate creative impact — bold typography, striking imagery, or motion that demonstrates the agency's aesthetic point of view. Below the fold: case studies are the primary content. Each should lead with results (revenue growth, conversion lift, brand metrics) and show the creative work. Services section organized by capability (brand, digital, media, performance, content). Client logos for credibility. Team or culture section that shows personality. Awards and recognition. Contact CTA should feel like the beginning of a creative partnership, not a sales funnel. Avoid: lengthy service descriptions, generic hero messaging, and portfolio presentations that do not connect creative work to business outcomes.","Most marketing agencies do not need a client-facing dashboard. If a reporting portal exists: campaign performance dashboards with key metrics (ROAS, CPA, conversion rate, impressions), channel breakdowns, and trend lines. Content calendar with approval workflows. Asset library for approved creative. Invoice and contract management. For internal use: project management with deliverable tracking, resource allocation, and profitability per client. Avoid: dumping raw analytics without context — every metric should be paired with interpretation and next steps.","Brand-expressive palette — marketing agencies have more creative freedom with color than most product types. Bold, distinctive color choices that differentiate from competitors. Dark backgrounds can create drama for case study presentations. High-contrast CTAs. The palette should feel intentional and ownable — if a competitor could use the same colors without noticing, it is not distinctive enough. Avoid: safe corporate blue-grey, inconsistent color usage that feels unplanned rather than bold, and palettes that compete with case study imagery rather than framing it.","The portfolio IS the pitch — case study quality is the single highest-impact investment. Each case study should show: the challenge, the creative solution, and the measurable result. Present creative work large and beautifully rendered. Page performance must be fast despite heavy imagery — use progressive loading and modern formats. Mobile must showcase work effectively; many prospects share agency links on phones. Contact should be frictionless — a short form or even just an email link. Agency sites often over-invest in about/culture pages and under-invest in case study depth; reverse this priority. Awards and recognition add credibility but should not dominate navigation. Avoid: case studies that show creative work without business outcomes, and sites that look like every other agency site.","Bold, results-forward creative; expressive typography, full-bleed case studies, distinctive color system, motion-rich interactions, and measurable-impact narrative"
